date,city,max_temperature_C,min_temperature_C,avg_temperature_C,avg_day_length_hours,avg_night_length_hours,avg_sunrise_time,avg_sunset_time,avg_AQI,AQI_category,PM2_5,PM10,avg_visibility_morning_km,avg_visibility_afternoon_km,avg_visibility_night_km,cloud_cover_%,uv_radiation_index,humidity_%,wind_speed_km_h,wind_direction,rainfall_mm,season,weather_condition,year,month,day,day_of_week
14-04-2023,Delhi,39.21,30.34,34.77,12.67,11.33,05:40,18:19,141,Moderate,159.21,300.73,11.47,12.47,10.47,18.2,9.21,38.71,14.08,S,4.9,Summer,Clear,2023,4,14,Friday
25-04-2023,Delhi,42.94,29.76,36.35,12.96,11.04,05:31,18:28,103,Moderate,103.39,172.15,12.43,13.43,11.43,32.46,8.09,38.5,6.32,SW,6.99,Summer,Clear,2023,4,25,Tuesday
29-04-2023,Delhi,43.81,30.97,37.39,13.07,10.93,05:27,18:32,99,Low,97.58,149.53,12.53,13.53,11.53,13.85,7.91,45.74,16.89,N,4.23,Summer,Clear,2023,4,29,Saturday
30-04-2023,Delhi,43.63,26.45,35.04,13.09,10.91,05:27,18:32,87,Low,106.87,167.48,12.82,13.82,11.82,42.53,10.06,56.22,17.6,N,19.84,Summer,Clear,2023,4,30,Sunday
02-05-2023,Delhi,43.65,25.12,34.38,13.14,10.86,05:25,18:34,86,Low,94.94,173.51,12.85,13.85,11.85,67.39,7.81,56.62,17.96,SW,19.65,Summer,Clear,2023,5,2,Tuesday
03-05-2023,Delhi,40.25,31.93,36.09,13.17,10.83,05:25,18:34,96,Low,92.62,162.83,12.6,13.6,11.6,69.18,8.7,48.72,14.06,S,8.65,Summer,Clear,2023,5,3,Wednesday
04-05-2023,Delhi,38.38,30.9,34.64,13.19,10.81,05:24,18:35,106,Moderate,131.85,224.42,12.35,13.35,11.35,10.07,9.46,30.51,7.84,SE,11.83,Summer,Clear,2023,5,4,Thursday
09-05-2023,Delhi,39.34,29.57,34.46,13.3,10.7,05:20,18:39,71,Low,84.3,139.65,13.22,14.22,12.22,53.27,8.02,56.47,6.34,W,11.6,Summer,Clear,2023,5,9,Tuesday
10-05-2023,Delhi,38.55,27.98,33.27,13.33,10.67,05:20,18:39,136,Moderate,155.67,250.45,11.6,12.6,10.6,50.79,9.57,54.22,17.92,SW,2.02,Summer,Clear,2023,5,10,Wednesday
19-05-2023,Delhi,41.4,25.94,33.67,13.51,10.49,05:14,18:45,101,Moderate,103.15,188.89,12.47,13.47,11.47,48.24,10.53,57.32,13.79,SE,10.62,Summer,Clear,2023,5,19,Friday
20-05-2023,Delhi,43.45,26.74,35.1,13.53,10.47,05:14,18:45,122,Moderate,134.25,261.94,11.95,12.95,10.95,13.57,9.33,58.99,6.95,SW,15.58,Summer,Clear,2023,5,20,Saturday
22-05-2023,Delhi,44.77,30.68,37.73,13.56,10.44,05:13,18:46,86,Low,88.78,138.57,12.85,13.85,11.85,42.5,8.55,31.4,6.52,SW,6.9,Summer,Clear,2023,5,22,Monday
26-05-2023,Delhi,43.61,31.41,37.51,13.63,10.37,05:11,18:48,121,Moderate,140.53,268.58,11.97,12.97,10.97,55.9,10.79,38.34,15.75,SE,5.27,Summer,Clear,2023,5,26,Friday
27-05-2023,Delhi,44.17,29.47,36.82,13.64,10.36,05:10,18:49,91,Low,111.01,190.15,12.72,13.72,11.72,36.31,9.21,57.82,13.36,N,0.63,Summer,Clear,2023,5,27,Saturday
13-06-2023,Delhi,31.39,24.38,27.88,13.81,10.19,05:05,18:54,71,Low,68.25,115.62,13.22,14.22,12.22,95.82,3.2,83.11,18.36,SW,117.67,Monsoon,Rainy,2023,6,13,Tuesday
19-06-2023,Delhi,31.35,22.17,26.76,13.83,10.17,05:05,18:54,59,Low,55.66,91.25,13.53,14.53,12.53,65.42,1.78,67.45,14.46,E,147.39,Monsoon,Rainy,2023,6,19,Monday
26-06-2023,Delhi,33.68,26.3,29.99,13.82,10.18,05:05,18:54,86,Low,96.44,154.38,12.85,13.85,11.85,96.59,2.33,75.76,16.07,N,86.05,Monsoon,Rainy,2023,6,26,Monday
28-06-2023,Delhi,32.45,22.14,27.3,13.82,10.18,05:05,18:54,44,Low,43.85,77.57,13.9,14.9,12.9,92.43,1.84,86.66,16.2,W,82.3,Monsoon,Rainy,2023,6,28,Wednesday
01-07-2023,Delhi,32.02,25.39,28.71,13.8,10.2,05:05,18:54,77,Low,85.84,171.33,13.07,14.07,12.07,68.16,4.47,69.97,18.76,W,111.66,Monsoon,Rainy,2023,7,1,Saturday
09-07-2023,Delhi,31.97,22.9,27.44,13.74,10.26,05:07,18:52,50,Low,57.11,98.65,13.75,14.75,12.75,60.31,3.7,87.08,16.91,S,85.04,Monsoon,Rainy,2023,7,9,Sunday
17-07-2023,Delhi,31.33,25.02,28.17,13.63,10.37,05:11,18:48,74,Low,80.13,146.45,13.15,14.15,12.15,90.34,1.56,90.08,6.55,N,101.99,Monsoon,Rainy,2023,7,17,Monday
19-07-2023,Delhi,30.36,22.47,26.42,13.6,10.4,05:11,18:48,67,Low,74.97,114.39,13.32,14.32,12.32,90.53,2.84,73.83,8.69,SW,162.98,Monsoon,Storm,2023,7,19,Wednesday
20-07-2023,Delhi,33.64,25.74,29.69,13.59,10.41,05:12,18:47,61,Low,63.85,102.49,13.47,14.47,12.47,66.92,4.41,84.19,11.41,SW,188.21,Monsoon,Storm,2023,7,20,Thursday
25-07-2023,Delhi,32.96,25.67,29.31,13.5,10.5,05:15,18:44,72,Low,70.9,135.2,13.2,14.2,12.2,93.44,3.41,69.52,7.05,E,142.26,Monsoon,Rainy,2023,7,25,Tuesday
26-07-2023,Delhi,32.44,23.29,27.87,13.48,10.52,05:15,18:44,71,Low,85.27,158.67,13.22,14.22,12.22,91.89,1.97,70.43,9.92,N,181.55,Monsoon,Storm,2023,7,26,Wednesday
29-07-2023,Delhi,30.79,22.84,26.81,13.42,10.58,05:17,18:42,66,Low,79.71,141.51,13.35,14.35,12.35,89.75,2.74,67.17,5.88,W,66.9,Monsoon,Rainy,2023,7,29,Saturday
31-07-2023,Delhi,32.8,22.42,27.61,13.38,10.62,05:18,18:41,95,Low,94.22,184.07,12.62,13.62,11.62,93.14,2.31,89.34,9.59,NW,188.93,Monsoon,Storm,2023,7,31,Monday
06-08-2023,Delhi,31.09,23.64,27.36,13.25,10.75,05:22,18:37,68,Low,77.71,123.27,13.3,14.3,12.3,83.55,3.37,71.99,16.22,SW,120.21,Monsoon,Rainy,2023,8,6,Sunday
07-08-2023,Delhi,33.33,24.91,29.12,13.22,10.78,05:23,18:36,74,Low,69.28,110.38,13.15,14.15,12.15,90,1.13,67.74,10.58,NW,87.28,Monsoon,Rainy,2023,8,7,Monday
12-08-2023,Delhi,30.14,22.69,26.41,13.1,10.9,05:26,18:33,50,Low,50.39,76.96,13.75,14.75,12.75,94.98,1.24,76.2,9.88,E,175.55,Monsoon,Storm,2023,8,12,Saturday
13-08-2023,Delhi,30.75,25.1,27.93,13.08,10.92,05:27,18:32,67,Low,65.19,117.78,13.32,14.32,12.32,97.41,1.5,83.83,10.39,E,131.86,Monsoon,Rainy,2023,8,13,Sunday
15-08-2023,Delhi,33.59,25.06,29.32,13.03,10.97,05:29,18:30,47,Low,50.71,85.61,13.82,14.82,12.82,96.98,2.89,70.35,12.22,S,112.91,Monsoon,Rainy,2023,8,15,Tuesday
18-08-2023,Delhi,33.4,26.49,29.94,12.95,11.05,05:31,18:28,46,Low,48.17,78.29,13.85,14.85,12.85,99.36,1.96,66.09,10.39,E,169.85,Monsoon,Storm,2023,8,18,Friday
23-08-2023,Delhi,31.46,22.87,27.17,12.82,11.18,05:35,18:24,80,Low,87.49,173.04,13,14,12,79.24,2.62,89.71,11.52,NE,192.86,Monsoon,Storm,2023,8,23,Wednesday
25-08-2023,Delhi,32.79,22.29,27.54,12.76,11.24,05:37,18:22,85,Low,81.78,124.82,12.88,13.88,11.88,72.95,2.04,72.11,13.95,W,173.74,Monsoon,Storm,2023,8,25,Friday
28-08-2023,Delhi,31.44,24.96,28.2,12.68,11.32,05:39,18:20,46,Low,57.87,88.41,13.85,14.85,12.85,98.46,1.88,88.77,12.69,SE,65.17,Monsoon,Rainy,2023,8,28,Monday
02-09-2023,Delhi,30.73,24.76,27.74,12.54,11.46,05:43,18:16,52,Low,48.68,87.9,13.7,14.7,12.7,60.94,2.88,87.94,6.66,SE,79.35,Monsoon,Rainy,2023,9,2,Saturday
04-09-2023,Delhi,31.76,22.87,27.32,12.48,11.52,05:45,18:14,55,Low,62.4,106.62,13.62,14.62,12.62,76.02,1.18,92.57,9.06,SE,148.49,Monsoon,Rainy,2023,9,4,Monday
08-09-2023,Delhi,34.27,24.86,29.56,12.37,11.63,05:49,18:10,62,Low,67.3,105.99,13.45,14.45,12.45,95.36,0.85,93.29,12.75,S,91.77,Monsoon,Rainy,2023,9,8,Friday
13-09-2023,Delhi,31.13,24.05,27.59,12.22,11.78,05:53,18:06,83,Low,92.61,163.34,12.93,13.93,11.93,84.98,2,89.01,8.26,S,81.18,Monsoon,Rainy,2023,9,13,Wednesday
15-09-2023,Delhi,31.67,26.8,29.24,12.16,11.84,05:55,18:04,68,Low,71.21,121.07,13.3,14.3,12.3,67.15,3.92,75.2,14.98,S,166.85,Monsoon,Storm,2023,9,15,Friday
18-09-2023,Delhi,33.56,26.41,29.99,12.07,11.93,05:57,18:02,67,Low,62.27,95.75,13.32,14.32,12.32,86.65,2.24,83.7,8.08,NE,115.25,Monsoon,Rainy,2023,9,18,Monday
22-09-2023,Delhi,33.78,26.02,29.9,11.96,12.04,06:01,17:58,61,Low,73.18,127.64,13.47,14.47,12.47,72.43,3.46,75.19,16.75,N,62.59,Monsoon,Rainy,2023,9,22,Friday
24-09-2023,Delhi,33.3,24.59,28.94,11.9,12.1,06:03,17:56,45,Low,50.04,99.55,13.88,14.88,12.88,94.96,3.26,79.81,5.16,S,66.04,Monsoon,Rainy,2023,9,24,Sunday
29-09-2023,Delhi,34.43,23.36,28.89,11.75,12.25,06:07,17:52,44,Low,42.34,81.45,13.9,14.9,12.9,92.52,2.96,82.23,18.35,NW,139.43,Monsoon,Rainy,2023,9,29,Friday
04-10-2023,Delhi,32.76,26.84,29.8,11.6,12.4,06:11,17:48,105,Moderate,99.77,155.47,12.38,13.38,11.38,84.52,0.77,76.63,12.6,NW,124.97,Monsoon,Rainy,2023,10,4,Wednesday
07-10-2023,Delhi,34.35,23.07,28.71,11.52,12.48,06:14,17:45,60,Low,65.58,129.18,13.5,14.5,12.5,80.78,2.5,78.22,17.01,E,103.76,Monsoon,Rainy,2023,10,7,Saturday
18-10-2023,Delhi,32.26,26.09,29.17,11.21,12.79,06:23,17:36,71,Low,72.02,120.22,13.22,14.22,12.22,62.26,1.85,81.74,9.28,W,157.66,Monsoon,Storm,2023,10,18,Wednesday
20-10-2023,Delhi,31.41,25.37,28.39,11.15,12.85,06:25,17:34,36,Low,41.1,77.18,14.1,15.1,13.1,68.64,5.42,80.84,6.28,NE,96.5,Monsoon,Rainy,2023,10,20,Friday
21-10-2023,Delhi,32.22,26.25,29.23,11.13,12.87,06:26,17:33,71,Low,76.95,126.67,13.22,14.22,12.22,95.73,1.63,94.2,19.97,S,156,Monsoon,Storm,2023,10,21,Saturday
24-10-2023,Delhi,30.02,22.14,26.08,11.05,12.95,06:28,17:31,73,Low,89.43,143.06,13.18,14.18,12.18,89.22,2.47,77.78,8.56,E,85.57,Monsoon,Rainy,2023,10,24,Tuesday
27-10-2023,Delhi,32.52,26.63,29.57,10.97,13.03,06:30,17:29,97,Low,88.9,147.72,12.57,13.57,11.57,61.41,1.84,66.87,15.92,N,156.29,Monsoon,Storm,2023,10,27,Friday
02-11-2023,Delhi,30.92,24.56,27.74,10.82,13.18,06:35,17:24,41,Low,45.6,89.39,13.97,14.97,12.97,60.25,3.32,93.35,5.37,N,186.22,Monsoon,Storm,2023,11,2,Thursday
05-11-2023,Delhi,34.54,24.59,29.57,10.75,13.25,06:37,17:22,40,Low,44.5,69.2,14,15,13,94.7,1.7,85.79,5.65,W,191.04,Monsoon,Storm,2023,11,5,Sunday
30-11-2023,Delhi,34.87,22.09,28.48,10.3,13.7,06:51,17:08,77,Low,96.86,163.14,13.07,14.07,12.07,98.63,1.08,94.42,7.72,S,153.37,Monsoon,Storm,2023,11,30,Thursday
02-12-2023,Delhi,18.96,8.19,13.57,10.28,13.72,06:51,17:08,283,High,260.91,414.99,7.92,8.93,6.92,42.4,3.07,63.88,19.66,SW,12.77,Winter,Clear,2023,12,2,Saturday
04-12-2023,Delhi,19.07,9.33,14.2,10.25,13.75,06:52,17:07,282,High,292.99,538.43,7.95,8.95,6.95,22.05,1.93,31.6,8.82,NW,0.07,Winter,Clear,2023,12,4,Monday
08-12-2023,Delhi,17.13,6.8,11.97,10.22,13.78,06:53,17:06,173,Moderate,213.08,330.15,10.68,11.68,9.68,36.65,4.17,51.49,17.42,SW,13.48,Winter,Clear,2023,12,8,Friday
10-12-2023,Delhi,17.99,8.21,13.1,10.2,13.8,06:53,17:06,271,High,293.04,562.57,8.22,9.22,7.22,43.63,5.91,37.08,12.77,SW,12.89,Winter,Clear,2023,12,10,Sunday
11-12-2023,Delhi,21.49,7.04,14.27,10.2,13.8,06:54,17:05,243,High,299.83,536.57,8.93,9.93,7.93,11.95,5.1,40.98,9.14,SE,11.74,Winter,Clear,2023,12,11,Monday
12-12-2023,Delhi,20.58,6.44,13.51,10.19,13.81,06:54,17:05,162,Moderate,179.15,355.96,10.95,11.95,9.95,43.63,5.57,54.4,15.12,SE,12.03,Winter,Clear,2023,12,12,Tuesday
14-12-2023,Delhi,17.83,9.31,13.57,10.18,13.82,06:54,17:05,192,Moderate,177.16,313.95,10.2,11.2,9.2,49.21,5.2,62.68,19.17,NE,12.51,Winter,Clear,2023,12,14,Thursday
15-12-2023,Delhi,16.91,5.85,11.38,10.18,13.82,06:54,17:05,193,Moderate,222.6,412.01,10.18,11.18,9.18,68.13,4.47,43.72,11.02,E,0.08,Winter,Clear,2023,12,15,Friday
20-12-2023,Delhi,16.35,6.78,11.56,10.17,13.83,06:54,17:05,188,Moderate,175.48,272.54,10.3,11.3,9.3,13.27,2.65,36.56,11.92,SE,19.95,Winter,Clear,2023,12,20,Wednesday
25-12-2023,Delhi,16.43,6.51,11.47,10.17,13.83,06:54,17:05,182,Moderate,180.13,339.93,10.45,11.45,9.45,64.54,5.85,45.49,7.6,E,12.7,Winter,Clear,2023,12,25,Monday
26-12-2023,Delhi,16.56,7.63,12.09,10.18,13.82,06:54,17:05,159,Moderate,163.69,281.25,11.03,12.03,10.03,42.55,5.79,43.24,8.09,SE,10.44,Winter,Clear,2023,12,26,Tuesday
27-12-2023,Delhi,19.58,5.22,12.4,10.18,13.82,06:54,17:05,133,Moderate,159.96,284.08,11.68,12.68,10.68,43.89,4.52,36.86,8.04,SE,0.45,Winter,Clear,2023,12,27,Wednesday
28-12-2023,Delhi,19.68,5.91,12.8,10.19,13.81,06:54,17:05,241,High,242.02,412.88,8.97,9.97,7.97,10.26,5.43,67.51,6,NW,19.9,Winter,Clear,2023,12,28,Thursday
01-01-2024,Delhi,21.67,6.41,14.04,10.21,13.79,06:53,17:06,172,Moderate,207.31,320.46,10.7,11.7,9.7,46.64,4.58,67.77,16.43,S,14.53,Winter,Clear,2024,1,1,Monday
06-01-2024,Delhi,16.84,5.23,11.03,10.25,13.75,06:52,17:07,131,Moderate,150.28,251.77,11.72,12.72,10.72,17.47,5.57,37.18,7.1,SW,1.25,Winter,Clear,2024,1,6,Saturday
22-01-2024,Delhi,18.76,7.97,13.36,10.47,13.53,06:45,17:14,207,High,231.52,358.75,9.82,10.82,8.82,21.32,3.81,45.83,15.39,NW,1.03,Winter,Clear,2024,1,22,Monday
26-01-2024,Delhi,18.72,7.17,12.95,10.55,13.45,06:43,17:16,180,Moderate,208.1,399.73,10.5,11.5,9.5,35.15,2.49,60.3,12.06,NE,14.68,Winter,Clear,2024,1,26,Friday
30-01-2024,Delhi,15.65,5.23,10.44,10.63,13.37,06:41,17:18,158,Moderate,166.74,265.71,11.05,12.05,10.05,66.11,5.77,39.43,19.38,S,16.98,Winter,Clear,2024,1,30,Tuesday
31-01-2024,Delhi,20.86,6.82,13.84,10.65,13.35,06:40,17:19,155,Moderate,160.9,287.12,11.12,12.12,10.12,40.49,2.73,69.84,7.79,E,17,Winter,Clear,2024,1,31,Wednesday
07-02-2024,Delhi,15.03,7.55,11.29,10.81,13.19,06:35,17:24,221,High,233.33,446.23,9.47,10.47,8.47,60.42,1.74,55.12,17.83,E,18.33,Winter,Clear,2024,2,7,Wednesday
08-02-2024,Delhi,19.73,5.85,12.79,10.83,13.17,06:34,17:25,144,Moderate,178.46,350.37,11.4,12.4,10.4,49.9,5.2,42.54,10.41,NW,9.25,Winter,Clear,2024,2,8,Thursday
09-02-2024,Delhi,17.99,9.91,13.95,10.86,13.14,06:34,17:25,249,High,267.59,521.42,8.78,9.78,7.78,52.97,1.55,46.47,9.06,S,4.68,Winter,Clear,2024,2,9,Friday
13-02-2024,Delhi,15.33,7.16,11.24,10.96,13.04,06:31,17:28,274,High,274.12,414.56,8.15,9.15,7.15,51.62,5.88,39.48,19.43,W,18.65,Winter,Clear,2024,2,13,Tuesday
15-02-2024,Delhi,16.64,5.5,11.07,11.01,12.99,06:29,17:30,175,Moderate,172.24,318.82,10.62,11.62,9.62,20.19,3.9,43.44,12.26,SE,13.48,Winter,Clear,2024,2,15,Thursday
26-02-2024,Delhi,20.1,7.21,13.65,11.31,12.69,06:20,17:39,173,Moderate,200.8,330.66,10.68,11.68,9.68,30.81,1.18,33.79,7.8,E,5.31,Winter,Clear,2024,2,26,Monday
29-02-2024,Delhi,20.23,6.63,13.43,11.39,12.61,06:18,17:41,243,High,250.24,465.05,8.93,9.93,7.93,54.32,5.79,30.86,17.93,N,19.17,Winter,Clear,2024,2,29,Thursday
03-03-2024,Delhi,39.18,27.29,33.23,11.48,12.52,06:15,17:44,95,Low,93.8,168.89,12.62,13.62,11.62,51.46,8.69,51.58,17.81,SW,6.34,Summer,Clear,2024,3,3,Sunday
04-03-2024,Delhi,43.4,25.45,34.43,11.5,12.5,06:14,17:45,125,Moderate,129.69,209.79,11.88,12.88,10.88,34.27,8.17,65.16,8.52,SE,19.14,Summer,Clear,2024,3,4,Monday
05-03-2024,Delhi,41.73,25.8,33.76,11.53,12.47,06:14,17:45,111,Moderate,123.94,186,12.22,13.22,11.22,53.63,8.4,68.85,6.39,S,4.4,Summer,Clear,2024,3,5,Tuesday
06-03-2024,Delhi,41.62,26.49,34.06,11.56,12.44,06:13,17:46,121,Moderate,122.91,235.71,11.97,12.97,10.97,65.64,10.73,51.64,12.69,SE,12.68,Summer,Clear,2024,3,6,Wednesday
11-03-2024,Delhi,40.14,28.22,34.18,11.71,12.29,06:08,17:51,90,Low,94.92,172.59,12.75,13.75,11.75,38.78,10.55,37.91,13.5,SW,2.07,Summer,Clear,2024,3,11,Monday
15-03-2024,Delhi,42.77,27.37,35.07,11.82,12.18,06:05,17:54,125,Moderate,125.71,216.69,11.88,12.88,10.88,27.76,8.3,49.73,19.41,N,1.01,Summer,Clear,2024,3,15,Friday
16-03-2024,Delhi,39.28,27.18,33.23,11.85,12.15,06:04,17:55,111,Moderate,120.79,233.31,12.22,13.22,11.22,28.6,8.57,64.25,10.35,NW,14.88,Summer,Clear,2024,3,16,Saturday
18-03-2024,Delhi,43.83,25.31,34.57,11.91,12.09,06:02,17:57,101,Moderate,104.67,192.57,12.47,13.47,11.47,21.86,8.72,51.6,12.53,N,8.73,Summer,Clear,2024,3,18,Monday
19-03-2024,Delhi,44.31,26.83,35.57,11.94,12.06,06:01,17:58,120,Moderate,149.43,272.27,12,13,11,69.84,10.49,31.42,9.46,E,14.49,Summer,Clear,2024,3,19,Tuesday
20-03-2024,Delhi,39.8,27.67,33.74,11.97,12.03,06:00,17:59,97,Low,108.49,182.94,12.57,13.57,11.57,60.76,10.25,36.57,12.15,N,12.42,Summer,Clear,2024,3,20,Wednesday
22-03-2024,Delhi,43.97,26.73,35.35,12.03,11.97,05:59,18:00,76,Low,81.41,147.31,13.1,14.1,12.1,68.2,9.54,65.97,16.46,SE,11.34,Summer,Clear,2024,3,22,Friday
24-03-2024,Delhi,38.59,26.13,32.36,12.09,11.91,05:57,18:02,129,Moderate,138.66,237.89,11.78,12.78,10.78,21.11,9.51,54.29,7.61,E,6.17,Summer,Clear,2024,3,24,Sunday
26-03-2024,Delhi,38.45,27.31,32.88,12.15,11.85,05:55,18:04,80,Low,98.49,191.52,13,14,12,38.86,7.18,51.95,5.11,S,3.53,Summer,Clear,2024,3,26,Tuesday
27-03-2024,Delhi,44.92,29.61,37.26,12.18,11.82,05:54,18:05,96,Low,109.23,189.54,12.6,13.6,11.6,62.97,7.74,55.96,17.61,SE,6.9,Summer,Clear,2024,3,27,Wednesday
